
===================================================================================
  B887 NR5G MAC PDSCH — Parsed Records
===================================================================================
   Pkt   Rec   Ver   Slot   Frame      SCS   CID   TB Size   MCS   Num RBs   HARQ    K1
   148     0     2     19     211   120kHz     0       301    11         3      8     6
   149     0     2      1     213      mu5     0        28     3         1      9     4
   150     0     2      7     257    30kHz     0        11     7         3      0     1
   151     0     2      2     291   120kHz     0        26     3         1     10    12
   152     0     2      0     292      mu4     0       111    12         1     11     5
   153     0     2     10     294      mu6     0        28     3         1     12     5
   154     0     2      1     299   120kHz     0       165    17         1     13     4
   155     0     2      6     299   120kHz     0        92    10         1     14     8
   156     0     2      0     301      mu5     0        32     3         1     15     5
   157     0     2     19     301      mu5     0       101    11         1      0     6
   158     0     2     10     354    60kHz     0        26     3         1      1     5
   159     0     2      7     385    30kHz     0        15     7         4      0     1
   160     0     2      7     641    30kHz     0        11     7         3      0     1
   161     0     2      0     867   120kHz     0        28     3         1      2     5
   162     0     2      7       1    30kHz     0         9     7         3      0     1
   163     0     2      7     129    30kHz     0        11     7         3      0     1
   164     0     2      6     289    30kHz     0        30     0         4      3     8
   165     0     2      7     305    30kHz     0        15     7         4      0     1
   165     1     2      7     433    30kHz   129         9     7         3      0     1
   166     0     2      7     561    30kHz     0        15     7         5      0     1

  Total records : 195
  Version 2     : 195 record(s), MCS in [0, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 29, 30, 31]
  Overall MCS   : min=0, max=31, avg=8.79
===================================================================================

