
=======================================================================
  B881 NR5G MAC UL TB Stats — Parsed Records
=======================================================================
  Pkt   Ver    Delta Tx (Bytes)   Cumul Tx        ReTx      
  466   3.1    0                  1119343243      94803364  
  467   3.1    0                  1119343243      94803364  
  468   3.1    0                  1119343243      94803364  
  469   3.1    0                  1119343243      94803364  
  470   3.1    0                  1119343243      94803364  
  471   3.1    0                  1119343243      94803364  
  472   3.1    0                  1119343243      94803364  
  473   3.1    0                  1119343243      94803364  
  474   3.1    0                  1119343243      94803364  
  475   3.1    0                  1119343243      94803364  
  476   3.1    0                  1119343243      94803364  
  477   3.1    0                  1119343243      94803364  
  478   3.1    0                  1119343243      94803364  
  479   3.1    0                  1119343243      94803364  
  480   3.1    0                  1119343243      94803364  
  481   3.1    0                  1119343243      94803364  
  482   3.1    0                  1119343243      94803364  
  483   3.1    0                  1119343243      94803364  
  484   3.1    325                1119343568      94803364  
  485   3.1    0                  1119343568      94803364  
  486   3.1    0                  1119343568      94803364  
  487   3.1    0                  1119343568      94803364  
  488   3.1    0                  1119343568      94803364  
  489   3.1    0                  1119343568      94803364  
  490   3.1    0                  1119343568      94803364  
  491   3.1    0                  1119343568      94803364  
  492   3.1    0                  1119343568      94803364  
  493   3.1    0                  1119343568      94803364  
  494   3.1    0                  1119343568      94803364  
  495   3.1    0                  1119343568      94803364  
  496   3.1    0                  1119343568      94803364  
  497   3.1    0                  1119343568      94803364  
  498   3.1    0                  1119343568      94803364  
  499   3.1    0                  1119343568      94803364  
  500   3.1    0                  1119343568      94803364  
  501   3.1    0                  1119343568      94803364  
  502   3.1    0                  1119343568      94803364  
  503   3.1    0                  1119343568      94803364  
  504   3.1    0                  1119343568      94803364  
  505   3.1    0                  1119343568      94803364  
  506   3.1    0                  1119343568      94803364  
  507   3.1    0                  1119343568      94803364  
  508   3.1    0                  1119343568      94803364  
  509   3.1    0                  1119343568      94803364  
  510   3.1    0                  1119343568      94803364  
  511   3.1    0                  1119343568      94803364  
  512   3.1    0                  1119343568      94803364  
  513   3.1    0                  1119343568      94803364  
  514   3.1    0                  1119343568      94803364  
  515   3.1    0                  1119343568      94803364  
  516   3.1    0                  1119343568      94803364  
  517   3.1    0                  1119343568      94803364  
  518   3.1    0                  1119343568      94803364  
  519   3.1    0                  1119343568      94803364  
  520   3.1    0                  1119343568      94803364  
  521   3.1    0                  1119343568      94803364  
  522   3.1    0                  1119343568      94803364  
  523   3.1    0                  1119343568      94803364  
  524   3.1    0                  1119343568      94803364  
  525   3.1    0                  1119343568      94803364  
  526   3.1    0                  1119343568      94803364  
  527   3.1    0                  1119343568      94803364  
  528   3.1    0                  1119343568      94803364  
  529   3.1    0                  1119343568      94803364  
